User_ID,User_Country,User_Age_Group,Gender,Travel_Companion,Location_Type,Preferred_Activities
User 125,Australia,51+,Male,Friends,"['Gardens', 'Beaches']","['Meditation', 'Wildlife Safaris', 'Nature Walks', 'Gardens']"
User 126,United Kingdom,26-35,Female,Friends,"['Farms', 'Beaches', 'Museums']","['Boat Tours', 'Meditation', 'Nature Walks', 'Hiking']"
User 127,United Arab Emirates,18-25,Male,Family,"['Nature & Wildlife Areas', 'Beaches']","['Rafting', 'Jet Skiing', 'Beach Hopping', 'Snorkeling']"
User 128,United Kingdom,36-50,Male,Solo,"['Farms', 'Beaches']","['Wildlife Safaris', 'Historical Exploration', 'Fishing', 'Photography']"
User 129,Australia,51+,Male,Friends,"['Museums', 'National Parks', 'Beaches']","['Cultural Exploration', 'Worship', 'Wildlife Safaris', 'Nature Walks']"
User 130,Australia,26-35,Male,Couple,"['Museums', 'Beaches']","['Beach Hopping', 'Cultural Tours', 'Relaxation', 'Sunbathing']"
User 131,Thailand,26-35,Male,Friends,"['Waterfalls', 'Museums', 'Beaches']","['Snorkeling', 'Sightseeing', 'Cultural Tours', 'Hiking']"
User 132,Italy,51+,Female,Solo,"['Religious Sites', 'Beaches', 'Zoological Gardens']","['Worship', 'Sightseeing', 'Bird Watching', 'Photography']"
User 133,United Kingdom,26-35,Female,Couple,"['National Parks', 'Beaches']","['Yoga', 'Relaxation', 'Nature Walks']"
User 134,Norway,36-50,Female,Friends,"['Museums', 'Beaches']","['Tea Plucking', 'Bird Watching', 'Farm Tours']"
User 135,France,18-25,Male,Friends,"['Farms', 'Beaches']","['Boat Tours', 'Snorkeling', 'Surfing', 'Rafting']"
User 136,Australia,18-25,Male,Friends,"['Waterfalls', 'Nature & Wildlife Areas', 'Beaches']","['Boat Tours', 'Surfing', 'Snorkeling']"
User 137,United Kingdom,51+,Male,Friends,"['Nature & Wildlife Areas', 'Historic Sites', 'Beaches']","['Wildlife Safaris', 'Nature Walks', 'Gardens']"
User 138,Singapore,18-25,Female,Solo,"['National Parks', 'Beaches']","['Beach Hopping', 'Snorkeling', 'Photography']"
User 139,Switzerland,36-50,Male,Solo,"['Nature & Wildlife Areas', 'Gardens', 'Beaches']","['Fishing', 'Worship', 'Historical Exploration', 'Hiking']"
User 140,United Kingdom,36-50,Female,Couple,"['Waterfalls', 'Beaches']","['Farm Tours', 'Cultural Tours', 'Wildlife Spotting']"
User 141,United Kingdom,18-25,Female,Solo,"['Waterfalls', 'Historic Sites', 'Beaches']","['Hiking', 'Beach Hopping', 'Nature Walks', 'Yoga']"
User 142,Australia,51+,Male,Family,"['Waterfalls', 'Beaches']","['Meditation', 'Wildlife Safaris', 'Walking Trails', 'Gardens']"
User 143,United Kingdom,18-25,Female,Solo,"['Religious Sites', 'Beaches']","['Snorkeling', 'Yoga', 'Beach Hopping', 'Hiking']"
User 144,Ireland,36-50,Male,Solo,"['Farms', 'Beaches', 'Bodies of Water']","['Hiking', 'Historical Exploration', 'Fishing', 'Wildlife Safaris']"
User 145,United States,26-35,Male,Friends,"['Farms', 'Beaches']","['Snorkeling', 'Sightseeing', 'Hiking', 'Boat Tours']"
User 146,Czechia,18-25,Male,Family,"['Nature & Wildlife Areas', 'Beaches']","['Surfing', 'Sightseeing', 'Beach Hopping', 'Wildlife Spotting']"
User 147,United Kingdom,51+,Female,Family,"['Historic Sites', 'Beaches']","['Relaxation', 'Bird Watching', 'Historical Exploration', 'Walking Trails']"
User 148,Australia,51+,Male,Couple,"['Religious Sites', 'National Parks', 'Beaches']","['Gardens', 'Wildlife Safaris', 'Worship', 'Meditation']"
User 149,Singapore,51+,Female,Family,"['Gardens', 'Beaches']","['Meditation', 'Bird Watching', 'Relaxation', 'Worship']"
User 150,United States,36-50,Male,Solo,"['National Parks', 'Beaches']","['Fishing', 'Wildlife Safaris', 'Worship', 'Historical Exploration']"
User 151,Australia,26-35,Male,Friends,"['Religious Sites', 'Beaches', 'Zoological Gardens']","['Boat Tours', 'Sightseeing', 'Snorkeling', 'Cultural Tours']"
User 152,Australia,36-50,Male,Couple,"['Historic Sites', 'Beaches']","['Wildlife Spotting', 'Nature Walks', 'Historical Exploration', 'Fishing']"
User 153,Sri Lanka,36-50,Female,Couple,"['Museums', 'National Parks', 'Beaches']","['Nature Walks', 'Tea Plucking', 'Cultural Tours']"
User 154,United Kingdom,51+,Male,Solo,"['Waterfalls', 'Beaches']","['Sightseeing', 'Photography', 'Worship', 'Wildlife Safaris']"
User 155,United States,51+,Male,Solo,"['Gardens', 'Beaches']","['Gardens', 'Worship', 'Educational Tours']"
User 156,Australia,26-35,Male,Family,"['Gardens', 'Beaches']","['Boat Tours', 'Wildlife Spotting', 'Hiking']"
User 157,Australia,18-25,Male,Solo,"['Waterfalls', 'Historic Sites', 'Beaches']","['Snorkeling', 'Jet Skiing', 'Photography']"
User 158,Australia,51+,Male,Couple,"['Gardens', 'Beaches']","['Wildlife Safaris', 'Cultural Activities', 'Worship']"
User 159,Malaysia,26-35,Male,Solo,"['Religious Sites', 'Gardens', 'Beaches']","['Boat Tours', 'Photography', 'Cultural Exploration']"
User 160,Australia,26-35,Male,Family,"['National Parks', 'Beaches']","['Sightseeing', 'Boat Tours', 'Hiking', 'Wildlife Spotting']"
User 161,United Arab Emirates,26-35,Male,Family,"['Farms', 'Religious Sites', 'Beaches']","['Hiking', 'Wildlife Spotting', 'Boat Tours']"
User 162,United Kingdom,51+,Female,Couple,"['Gardens', 'Beaches']","['Relaxation', 'Worship', 'Wildlife Spotting']"
User 163,Italy,36-50,Female,Family,"['Religious Sites', 'Beaches']","['Agricultural Workshops', 'Farm Tours', 'Historical Exploration']"
User 164,Czechia,26-35,Male,Couple,"['Beaches', 'Bodies of Water']","['Boat Tours', 'Sightseeing', 'Sunbathing']"
User 165,Ireland,51+,Male,Family,"['National Parks', 'Beaches']","['Wildlife Safaris', 'Worship', 'Gardens', 'Walking Trails']"
User 166,Netherlands,36-50,Male,Couple,"['Beaches', 'Bodies of Water', 'Farms']","['Wildlife Spotting', 'Wildlife Safaris', 'Fishing', 'Historical Exploration']"
User 167,Sri Lanka,51+,Male,Family,"['Waterfalls', 'Gardens', 'Beaches']","['Meditation', 'Walking Trails', 'Wildlife Safaris', 'Worship']"
User 168,Germany,26-35,Male,Solo,"['Museums', 'Religious Sites', 'Beaches']","['Sightseeing', 'Cultural Exploration', 'Cultural Tours']"
User 169,Kuwait,36-50,Female,Friends,"['Religious Sites', 'Gardens', 'Beaches']","['Boating', 'Cultural Tours', 'Tea Plucking']"
User 170,United States,36-50,Male,Solo,"['National Parks', 'Beaches']","['Hiking', 'Fishing', 'Wildlife Safaris', 'Worship']"
User 171,United Kingdom,26-35,Male,Friends,"['Waterfalls', 'Beaches']","['Boat Tours', 'Cultural Tours', 'Snorkeling']"
User 172,Italy,51+,Male,Solo,"['Farms', 'Historic Sites', 'Beaches']","['Photography', 'Sightseeing', 'Worship', 'Gardens']"
User 173,Netherlands,26-35,Female,Friends,"['Nature & Wildlife Areas', 'Gardens', 'Beaches']","['Yoga', 'Photography', 'Meditation', 'Nature Walks']"
User 174,United Kingdom,26-35,Male,Friends,"['Religious Sites', 'Historic Sites', 'Beaches']","['Hiking', 'Boat Tours', 'Sightseeing']"
User 175,United Kingdom,51+,Female,Couple,"['Religious Sites', 'Beaches', 'Zoological Gardens']","['Relaxation', 'Wildlife Spotting', 'Worship', 'Meditation']"
User 176,United States,18-25,Male,Family,"['Gardens', 'Beaches', 'Zoological Gardens']","['Wildlife Spotting', 'Sightseeing', 'Snorkeling']"
User 177,United Kingdom,26-35,Female,Family,"['National Parks', 'Beaches']","['Photography', 'Sightseeing', 'Nature Walks', 'Meditation']"
User 178,Belgium,26-35,Female,Couple,"['Waterfalls', 'Beaches']","['Meditation', 'Beach Hopping', 'Sunbathing']"
User 179,Australia,51+,Male,Couple,"['Historic Sites', 'Beaches']","['Wildlife Safaris', 'Gardens', 'Meditation']"
User 180,Netherlands,18-25,Male,Friends,"['Beaches', 'Zoological Gardens']","['Hiking', 'Jet Skiing', 'Surfing', 'Snorkeling']"
User 181,India,26-35,Female,Friends,"['Beaches', 'Bodies of Water']","['Hiking', 'Photography', 'Boat Tours', 'Snorkeling']"
User 182,South Africa,36-50,Male,Couple,"['Waterfalls', 'National Parks', 'Beaches']","['Historical Exploration', 'Hiking', 'Wildlife Safaris', 'Nature Walks']"
User 183,Canada,36-50,Female,Family,"['Waterfalls', 'Museums', 'Beaches']","['Historical Exploration', 'Farm Tours', 'Tea Plucking']"
User 184,Australia,18-25,Male,Family,"['National Parks', 'Beaches']","['Wildlife Spotting', 'Rafting', 'Boat Tours', 'Hiking']"
User 185,Czechia,18-25,Male,Couple,"['Nature & Wildlife Areas', 'Beaches']","['Jet Skiing', 'Relaxation', 'Snorkeling', 'Rafting']"
User 186,United Kingdom,18-25,Female,Solo,"['Farms', 'Beaches']","['Hiking', 'Snorkeling', 'Beach Hopping', 'Yoga']"
User 187,Australia,26-35,Male,Solo,"['Religious Sites', 'Beaches']","['Sightseeing', 'Guided Tours', 'Cultural Tours', 'Cultural Exploration']"
User 188,United Kingdom,36-50,Female,Solo,"['Gardens', 'Beaches']","['Tea Plucking', 'Worship', 'Cultural Tours', 'Farm Tours']"
User 189,United Kingdom,36-50,Female,Couple,"['Farms', 'Beaches']","['Tea Plucking', 'Farm Tours', 'Cultural Tours', 'Wildlife Spotting']"
User 190,United Arab Emirates,18-25,Female,Solo,"['Waterfalls', 'Beaches']","['Snorkeling', 'Hiking', 'Yoga', 'Beach Hopping']"
User 191,India,36-50,Male,Friends,"['Religious Sites', 'Historic Sites', 'Beaches']","['Wildlife Safaris', 'Boating', 'Fishing', 'Walking Trails']"
User 192,South Africa,18-25,Female,Couple,"['Gardens', 'Beaches']","['Nature Walks', 'Snorkeling', 'Yoga', 'Photography']"
User 193,Australia,36-50,Female,Friends,"['Nature & Wildlife Areas', 'Beaches']","['Farm Tours', 'Boating', 'Tea Plucking']"
