User_ID,Age,User_Interest,Preferred_Destination,Budget,Travel_Style
U0104,20,"Meditation, Walking Trails, Architectural Marvel","Twin Baths (Kuttam Pokuna), Minneriya Tusker Safaris",High,Relaxed
U0105,23,"Farm Tours, Guided Tours",Jungle Beach,Medium,Relaxed
U0106,24,"Guided Tours, Agricultural Workshops","Udawalawe National Park, Halpewatte Tea Factory Tour, Bentota Beach",High,Backpacker
U0107,18,"Worship, Jet Skiing, Hiking",Isurumuniya Temple,Medium,Relaxed
U0108,23,Animal Watching,Tissa Wewa,Low,Luxury
U0109,21,"Bird Watching, Nature Walks","Horton Plains National Park, Ritigala Forest Monastery",High,Balanced
U0110,21,Farm Tours,,Medium,Luxury
U0111,19,Tea Plucking,Community Tsunami Museum,Medium,Luxury
U0112,23,"Boating, Learning History","Kelaniya Raja Maha Vihara, Kalametiya Eco Bird Watching",Low,Balanced
U0113,22,"Surfing, Wildlife Spotting",Isurumuniya Temple,High,Adventurous
U0114,21,"Bird Watching, Boating","Victoria Park of Nuwara Eliya, Lover's Leap Falls",Medium,Balanced
U0115,20,Bird Watching,"Pedro Tea Factory, Minneriya National Park, Kelaniya Raja Maha Vihara",Low,Adventurous
U0116,21,Educational Tours,"Udawattekele Sanctuary, Jaya Sri Maha Bodhi, Sigiriya The Ancient Rock Fortress",Medium,Balanced
U0117,18,"Learning History, Trekking","Damro Labookellie Tea Centre and Tea Garden, Passikudah Beach, Twin Baths (Kuttam Pokuna)",High,Balanced
U0118,19,Swimming,"Damro Labookellie Tea Centre and Tea Garden, Jethawanaramaya Stupa",High,Relaxed
U0119,19,"Nature Photography, Relaxation","Sigiriya Museum, Pigeon Island National Park, Bentota Beach",Low,Relaxed
U0120,21,Guided Tours,"Kandy Lake, Kumana National Park, Negombo Beach",High,Luxury
U0121,25,"Yoga, Tea Plucking, Boat Tours","Galle Fort, Pinnawala Elephant Orphanage",Low,Backpacker
U0122,25,Jeep Safaris,"Abhayagiri Dagaba, Isurumuniya Temple",High,Luxury
U0123,18,"Cultural Activities, Meditation, Hiking","Negombo Beach, Pinnawala Elephant Orphanage, Royal Botanical Gardens",Medium,Relaxed
U0124,21,"Beach Hopping, Exploring Exhibits, Historical Exploration",Sea Turtle Farm Galle Mahamodara,Medium,Relaxed
U0125,18,"Bird Watching, Walking Trails, Meditation","Mount Lavinia Beach, National Zoological Gardens of Sri Lanka",Medium,Backpacker
U0126,18,"Wildlife Safaris, Educational Tours","Jaffna Fort, Galle Fort, Ambewela Farms",High,Backpacker
U0127,22,"Educational Tours, Yoga, Animal Watching","Tissa Wewa, Dambulla Cave Temple, Minneriya National Park",High,Relaxed
U0128,18,Fruit Picking,,Low,Balanced
U0129,19,"Guided Tours, Cultural Activities, Jet Skiing",,Medium,Relaxed
U0130,18,"Tea Plucking, Cultural Exploration",Minneriya Tusker Safaris,Low,Adventurous
U0131,21,"Learning History, Architectural Marvel, Fruit Picking","Minneriya National Park, Pedro Tea Factory, Dagoba of Thuparama",Low,Balanced
U0132,18,"Architectural Marvel, Wildlife Safaris, Cultural Tours","Horton Plains National Park, Koneswaram Temple",Low,Balanced
U0133,19,"Jeep Safaris, Rafting, Yoga","Sigiriya Museum, St Clair's Falls, Hakgala Botanic Gardens",Low,Adventurous
U0134,24,"Worship, Rafting","Bluefield Tea Gardens, Ambewela Farms",Medium,Balanced
U0135,18,"Historical Exploration, Hiking, Animal Watching","Kalametiya Eco Bird Watching, Abhayagiri Dagaba",Low,Relaxed
U0136,24,"Wildlife Safaris, Cultural Exploration, Snorkeling",Ramboda Waterfall,Medium,Luxury
U0137,25,Wildlife Spotting,Polonnaruwa,Medium,Luxury
U0138,25,"Yoga, Cultural Activities","Dagoba of Thuparama, Pigeon Island National Park, Ruwanwelisaya",Low,Backpacker
U0139,22,Kayaking,"Tissa Wewa, Glenloch Tea Factory, Diyaluma Falls",Medium,Adventurous
U0140,19,"Surfing, Jeep Safaris",Mihintale,High,Backpacker
U0141,25,"Cultural Tours, Beach Hopping, Boating","Handunugoda Tea Estate, Udawalawe National Park, Ritigala Forest Monastery",Low,Relaxed
U0142,25,"Hiking, Surfing, Farm Tours",,High,Relaxed
U0143,21,"Snorkeling, Bird Watching","Udawattekele Sanctuary, Negombo Beach, Mirissa Beach",Low,Adventurous
U0144,20,"Kite Surfing, Tea Plucking, Rafting",Kumana National Park,High,Backpacker
U0145,18,"Trekking, Kayaking","Pigeon Island National Park, Ravana Ella Falls, Jungle Beach",High,Relaxed
U0146,24,"Cultural Tours, Educational Tours, Boating","Mount Lavinia Beach, Handunugoda Tea Estate",High,Backpacker
U0147,22,Surfing,Sigiriya The Ancient Rock Fortress,Low,Adventurous
U0148,19,Relaxation,"Kumana National Park, Ariyapala Mask Museum",Medium,Relaxed
U0149,24,"Cultural Tours, Surfing",Bundala National Park,Medium,Backpacker
U0150,22,Tea Plucking,,Medium,Balanced
U0151,20,"Trekking, Bird Watching, Boating","Ambewela Farms, Sea Turtle Farm Galle Mahamodara",High,Balanced
U0152,24,Rafting,,Low,Luxury
U0153,23,Swimming," Kandy Lake, Hakgala Botanic Gardens",High,Luxury
U0154,22,"Snorkeling, Photography","Jaya Sri Maha Bodhi, Damro Labookellie Tea Centre and Tea Garden",Low,Relaxed
U0155,20,"Learning History, Exploring Exhibits","Baker's Falls, Samadhi Statue, Kaudulla National Park",High,Balanced
U0156,25,"Exploring Exhibits, Hiking",,High,Backpacker
U0157,25,"Kayaking, Architectural Marvel, Learning History","Dambatenne Tea Factory, Jaya Sri Maha Bodhi, Ariyapala Mask Museum",Medium,Backpacker
U0158,22,Learning History,Nallur Kovil,Medium,Balanced
U0159,24,"Cultural Tours, Wildlife Safaris","Ruwanwelisaya, Brief Garden - Bevis Bawa",Low,Balanced
U0160,25,"Beach Hopping, Sunbathing","Diyaluma Falls, Kandy Lake",Low,Backpacker
U0161,24,"Swimming, Exploring Exhibits, Walking Trails","Polonnaruwa, Abhayagiri Dagaba, Koneswaram Temple",High,Backpacker
U0162,20,"Fruit Picking, Jet Skiing, Jeep Safaris",Pigeon Island National Park,High,Backpacker
U0163,19,Boat Tours,Kalametiya Eco Bird Watching,High,Luxury
U0164,20,"Guided Tours, Boat Tours, Farm Tours","Wilpattu National Park, Victoria Park of Nuwara Eliya, Mihintale",High,Adventurous
U0165,24,"Animal Watching, Nature Walks",Jungle Beach,Medium,Balanced
U0166,21,"Photography, Kite Surfing, Worship",,Low,Backpacker
U0167,21,Farm Tours,"Koneswaram Temple, New Ranweli Spice Garden, Damro Labookellie Tea Centre and Tea Garden",Low,Relaxed
U0168,20,"Agricultural Workshops, Kayaking","Ceylon Tea Museum, Tissa Wewa",High,Balanced
U0169,21,Exploring Exhibits,"Hikkaduwa Beach, Ceylon Tea Museum, Martin Wickramasinghe Folk Museum Complex",Low,Backpacker
U0170,21,Hiking,Abhayagiri Dagaba,Medium,Luxury
U0171,24,Jet Skiing,,Low,Backpacker
U0172,21,"Nature Photography, Nature Walks, Agricultural Workshops","Passikudah Beach, Isurumuniya Temple",High,Balanced
U0173,24,Swimming,Bundala National Park,Medium,Luxury
U0174,22,Relaxation,"Jaffna Fort, Kelaniya Raja Maha Vihara",Medium,Relaxed
U0175,25,"Sunbathing, Nature Photography, Boat Tours",,High,Relaxed
U0176,21,Boating,"Lover's Leap Falls, Temple of the Sacred Tooth Relic, Udawattekele Sanctuary",Low,Balanced
U0177,19,"Cultural Exploration, Wildlife",Damro Labookellie Tea Centre and Tea Garden,High,Backpacker
U0178,22,Swimming,"Kandy Lake, Sinharaja Forest Reserve, Polonnaruwa",Medium,Backpacker
U0179,19,"Learning History, Relaxation, Nature Photography",Wilpattu National Park,Low,Luxury
U0180,24,"Fishing, Farm Tours, Tea Plucking","Pigeon Island National Park, Passikudah Beach",High,Luxury
U0181,19,Historical Exploration,Ruwanwelisaya,High,Luxury
U0182,25,"Educational Tours, Swimming, Guided Tours",Kandy Lake,Low,Backpacker
U0183,18,Worship,,Low,Balanced
U0184,21,"Surfing, Animal Watching, Agricultural Workshops","Martin Wickramasinghe Folk Museum Complex, Jaffna Fort",High,Backpacker
U0185,20,Cultural Tours,"Ariyapala Mask Museum, Abhayagiri Dagaba",Medium,Luxury
U0186,24,"Beach Hopping, Nature Walks, Sightseeing",,Medium,Adventurous
U0187,25,"Educational Tours, Exploring Exhibits, Nature Walks",Kalutara Beach,Low,Balanced
U0188,20,"Cultural Exploration, Wildlife Safaris","Community Tsunami Museum, Kelaniya Raja Maha Vihara",Low,Balanced
U0189,20,Worship,Glenloch Tea Factory,High,Luxury
U0190,25,"Trekking, Meditation",Dagoba of Thuparama,Low,Adventurous
U0191,18,"Boating, Wildlife, Bird Watching",,High,Adventurous
U0192,22,"Educational Tours, Sunbathing, Nature Walks",,Medium,Balanced
U0193,22,"Exploring Exhibits, Farm Tours","Koneswaram Temple, Ceylon Tea Museum",High,Relaxed
U0194,24,"Walking Trails, Sightseeing",,Medium,Luxury
U0195,20,"Beach Hopping, Snorkeling","Pedro Tea Factory, Samadhi Statue",High,Balanced
U0196,24,"Kit Surfing, Trekking, Architectural Marvel","Bluefield Tea Gardens, Ceylon Tea Museum, Ritigala Forest Monastery",High,Relaxed
U0197,18,"Surfing, Walking Trails, Worship","Nallur Kovil, Koneswaram Temple, Kalametiya Eco Bird Watching",Low,Relaxed
U0198,18,Trekking,"Gangaramaya (Vihara) Buddhist Temple, Polonnaruwa, Dagoba of Thuparama",Low,Backpacker
U0199,19,"Rafting, Learning History, Relaxation","Sigiriya Museum, Jaya Sri Maha Bodhi, Koneswaram Temple",Low,Luxury
U0200,19,"Architectural Marvel, Sightseeing, Hiking",Sinharaja Forest Reserve,Medium,Adventurous
U0201,23,Hiking ,"Kelaniya Raja Maha Vihara, Bluefield Tea Gardens, Bentota Beach",High,Luxury
U0202,25,Wildlife,,Low,Adventurous
U0203,23,Boating,"Sinharaja Forest Reserve, Udawattekele Sanctuary, Marble Beach",Medium,Adventurous
U0204,20,"Sunbathing, Farm Tours, Fruit Picking","Minneriya National Park, Kalutara Beach",High,Luxury
U0205,18,"Tea Plucking, Jeep Safaris, Agricultural Workshops",,High,Balanced
U0206,21,"Relaxation, Meditation",Community Tsunami Museum,Low,Luxury
U0207,20,"Animal Watching, Relaxation","Kumana National Park, Minneriya National Park",High,Backpacker
U0208,18,"Beach Hopping, Boating","Nilaveli Beach, Pedro Tea Factory",High,Adventurous
U0209,18,"Farm Tours, Fruit Picking, Boating",National Zoological Gardens of Sri Lanka,Low,Backpacker
U0210,20,"Nature Walks, Wildlife Spotting","St Clair's Falls, Brief Garden - Bevis Bawa, Kelaniya Raja Maha Vihara",Medium,Luxury
U0211,21,Boat Tours,"Twin Baths (Kuttam Pokuna), Gangaramaya (Vihara) Buddhist Temple",Low,Luxury
U0212,22,"Animal Watching, Jet Skiing","Bentota Beach, Arugam Bay, Jungle Beach",High,Luxury
U0213,23,"Photography, Educational Tours, Swimming","Udawalawe National Park, Hikkaduwa Beach, Galle Fort",High,Luxury
U0214,24,"Cultural Activities, Rafting, Wildlife","Hakgala Botanic Gardens, Kumana National Park, Udawalawe National Park",High,Adventurous
U0215,18,"Rafting, Learning History",Handunugoda Tea Estate,High,Luxury
U0216,22,"Learning History, Relaxation","Jungle Beach, Pedro Tea Factory",Low,Relaxed
U0217,24,Tea Plucking,Isurumuniya Temple,Medium,Luxury
U0218,25,"Relaxation, Guided Tours","Community Tsunami Museum, Kalutara Beach, Twin Baths (Kuttam Pokuna)",Low,Balanced
U0219,23,"Sunbathing, Wildlife","Kaudulla National Park, Dambulla Cave Temple",Medium,Luxury
U0220,22,"Fishing, Hiking, Yoga","Kalametiya Eco Bird Watching, Ariyapala Mask Museum",High,Adventurous
U0221,22,Photography,"Abhayagiri Dagaba, Gangaramaya (Vihara) Buddhist Temple",Low,Adventurous
U0222,19,Fruit Picking,"Martin Wickramasinghe Folk Museum Complex, Nilaveli Beach",Medium,Balanced
U0223,18,Agricultural Workshops,"Polonnaruwa, Kelaniya Raja Maha Vihara",High,Backpacker
U0224,24,Hiking ,"Udawalawe National Park, Community Tsunami Museum, Pigeon Island National Park",High,Adventurous
U0225,25,"Boating, Beach Hopping, Agricultural Workshops","Polonnaruwa, Jungle Beach",Medium,Backpacker
U0226,20,"Animal Watching, Relaxation",Jethawanaramaya Stupa,High,Balanced
U0227,20,Learning History,Bluefield Tea Gardens,Low,Backpacker
U0228,22,Wildlife Spotting,"Kalutara Beach, Bentota Beach, Jethawanaramaya Stupa",High,Adventurous
U0229,21,"Kit Surfing, Agricultural Workshops, Farm Tours",Martin Wickramasinghe Folk Museum Complex,High,Relaxed
U0230,18,Bird Watching,"Hakgala Botanic Gardens, Mihintale",Low,Luxury
U0231,23,"Jet Skiing, Animal Watching, Fruit Picking",,High,Adventurous
U0232,20,"Guided Tours, Nature Walks, Hiking ","Bundala National Park, Jethawanaramaya Stupa, Dambatenne Tea Factory",High,Adventurous
U0233,23,"Nature Walks, Swimming, Hiking ",Bluefield Tea Gardens,Low,Relaxed
U0234,24,Wildlife,,High,Balanced
U0235,19,"Boating, Fruit Picking, Agricultural Workshops",Koneswaram Temple,Low,Backpacker
U0236,22,Nature Walks,"Hikkaduwa Beach, Abhayagiri Dagaba",Medium,Backpacker
U0237,19,Jet Skiing,"Ambewela Farms, Colombo National Museum, Ceylon Tea Museum",High,Backpacker
U0238,23,"Kite Surfing, Bird Watching, Tea Plucking","Sea Turtle Farm Galle Mahamodara, Galle Fort, Passikudah Beach",High,Backpacker
U0239,24,"Tea Plucking, Hiking, Architectural Marvel","Halpewatte Tea Factory Tour, Sinharaja Forest Reserve, Diyaluma Falls",Low,Relaxed
U0240,25,"Hiking, Fruit Picking, Worship","Jaffna Fort, Royal Botanical Gardens",High,Adventurous
U0241,22,"Bird Watching, Boat Tours","Brief Garden - Bevis Bawa, Ceylon Tea Museum",Low,Luxury
U0242,22,"Walking Trails, Snorkeling, Cultural Activities",Kelaniya Raja Maha Vihara,Low,Adventurous
U0243,23,"Guided Tours, Farm Tours","Hakgala Botanic Gardens, Kaudulla National Park, Ariyapala Mask Museum",Low,Luxury
U0244,22,Educational Tours,Sigiriya The Ancient Rock Fortress,Medium,Balanced
U0245,20,"Animal Watching, Learning History, Sightseeing","Horton Plains National Park, Jaffna Fort",High,Luxury
U0246,18,"Historical Exploration, Sightseeing","Kumana National Park, Abhayagiri Dagaba, Martin Wickramasinghe Folk Museum Complex",Medium,Balanced
U0247,22,Trekking,"New Ranweli Spice Garden, Ravana Ella Falls",Medium,Balanced
U0248,22,Animal Watching,"Samadhi Statue, Koneswaram Temple",High,Relaxed
U0249,18,"Nature Photography, Learning History, Nature Walks",,High,Luxury
U0250,19,Fishing,Minneriya Tusker Safaris,Low,Balanced
U0251,34,"Snorkeling, Sightseeing, Animal Watching","Jaffna Fort, Gregory Lake, Sinharaja Forest Reserve",Low,Balanced
U0252,34,"Boat Tours, Bird Watching","Marble Beach, Jaffna Fort, Dambulla Cave Temple",Medium,Relaxed
U0253,26,Walking Trails,"Kaudulla National Park, Twin Baths (Kuttam Pokuna), Colombo National Museum",High,Adventurous
U0254,33,"Trekking, Fishing, Relaxation",Hikkaduwa Beach,High,Balanced
U0255,35,Bird Watching,"Colombo National Museum, Sigiriya The Ancient Rock Fortress",Low,Backpacker
U0256,30,Kite Surfing,,Low,Adventurous
U0257,34,Bird Watching,,Medium,Relaxed
U0258,34,"Jeep Safaris, Boating, Historical Exploration","Samadhi Statue, Brief Garden - Bevis Bawa, Ritigala Forest Monastery",Low,Adventurous
U0259,29,"Photography, Swimming, Cultural Tours",Brief Garden - Bevis Bawa,High,Adventurous
U0260,28,"Nature Walks, Tea Plucking",Baker's Falls,High,Backpacker
U0261,33,"Agricultural Workshops, Bird Watching, Educational Tours",,High,Relaxed
U0262,32,"Worship, Cultural Tours, Walking Trails",New Ranweli Spice Garden,High,Luxury
U0263,32,"Surfing, Wildlife Spotting",,Low,Luxury
U0264,35,"Meditation, Guided Tours, Swimming","Jaya Sri Maha Bodhi, New Ranweli Spice Garden, Udawalawe National Park",Medium,Balanced
U0265,29,"Bird Watching, Jeep Safaris, Nature Photography",,High,Adventurous
U0266,26,"Agricultural Workshops, Wildlife Spotting, Jet Skiing","Abhayagiri Dagaba, Ariyapala Mask Museum",Medium,Adventurous
U0267,27,"Snorkeling, Cultural Activities","Pedro Tea Factory, Ramboda Waterfall, Royal Botanical Gardens",Medium,Relaxed
U0268,31,"Relaxation, Swimming","Royal Botanical Gardens, Nilaveli Beach, Lover's Leap Falls",Low,Relaxed
U0269,30,Wildlife,,Low,Backpacker
U0270,28,"Guided Tours, Historical Exploration, Surfing","Hikkaduwa Beach, Twin Baths (Kuttam Pokuna)",Medium,Relaxed
U0271,30,Exploring Exhibits,Kalametiya Eco Bird Watching,High,Balanced
U0272,28,"Animal Watching, Kayaking, Wildlife Spotting",,High,Luxury
U0273,28,Learning History,"Kandy Lake, Diyaluma Falls",High,Relaxed
U0274,32,"Boating, Yoga, Meditation",Glenloch Tea Factory,High,Luxury
U0275,33,"Farm Tours, Nature Walks",New Ranweli Spice Garden,Medium,Balanced
U0276,28,"Photography, Wildlife Spotting, Nature Walks",,Low,Adventurous
