message,intent
Stayed in a treehouse in Dambulla,share_experience
Polonnaruwa ruins were incredible,share_experience
Sup travelers!,greet
Ravana Falls was breathtaking when I visited,share_experience
Any camping gear rental services?,ask_help
Great Airbnb in Colombo 5,share_experience
Should we take the bus or train?,ask_help
Took a boat ride in Madu Ganga,share_experience
Where can we go hiking that's beginner-friendly?,ask_help
I ate the best kottu in Matara,share_experience
Where should we stay in Nuwara Eliya?,ask_help
Don't miss Lipton's Seat if you go to Haputale,share_experience
Sigiriya was hotter than I expected but so worth it,share_experience
Can we swim in Nilaveli beach?,ask_help
Loved the nature in Meemure,share_experience
Anyone know a good taxi from Kandy?,ask_help
Is Mirissa better than Hikkaduwa?,ask_help
Let's go to Ella next weekend,plan_trip
Chilled in Pasikudah,share_experience
"Ella is good, but avoid weekends - too crowded",share_experience
Planning a hike in Knuckles?,plan_trip
"Wow, I love that idea",general
Let's do a day trip to Galle,plan_trip
Planning a camping trip to Belihuloya,plan_trip
I stayed in a cheap hostel near Gregory Lake,share_experience
Count me in!,general
Where can we eat vegetarian in Anuradhapura?,ask_help
Best time to visit Sigiriya?,ask_help
Where to buy SIM cards?,ask_help
What's the safest area to stay in Kandy?,ask_help
"I went to Ella last month, it was amazing",share_experience
Nice to meet you guys,greet
What do you say to Nilaveli beach?,plan_trip
Best hike: Alagalla rock,share_experience
Looking for help planning the schedule,ask_help
Next weekend for Jaffna trip?,plan_trip
What currency is best to carry?,ask_help
How long is the train ride to Badulla?,ask_help
I had the best roti at a stall in Matale,share_experience
I'd love to go to Kandy next week,plan_trip
I'm free first weekend of next month,plan_trip
Anyone know if we need advance booking for Ella train?,ask_help
Hey there!,greet
Good to be here!,greet
Hello travel fam!,greet
Happy to join this group!,greet
"Hi everyone, excited for this!",greet
Good evening fellow travelers!,greet
"Hi team, let’s plan something fun!",greet
"Hello guys, what’s up?",greet
Glad to be part of this group!,greet
"Hey folks, new here!",greet
Sounds interesting!,general
That could work!,general
Let’s see what others think,general
"Cool idea, I’m in",general
Good one ??,general
Nice suggestion,general
Haha I agree,general
Totally down for that,general
"I’m not sure, maybe",general
Let’s ask the others,general
Let’s go hiking this weekend,plan_trip
Anyone up for a road trip to Sigiriya?,plan_trip
How about a beach trip next month?,plan_trip
We should plan something for the long weekend,plan_trip
Let's finalize the destination today,plan_trip
Can we decide on dates for the trip?,plan_trip
Thinking about a day trip to Anuradhapura,plan_trip
We should book tickets early for the Kandy trip,plan_trip
Let’s plan a camping trip in Meemure,plan_trip
How about visiting Jaffna this Poya holiday?,plan_trip
I loved the view from Little Adam’s Peak,share_experience
The train ride to Badulla is beautiful,share_experience
I stayed in a treehouse near Ella,share_experience
Unawatuna was peaceful and clean,share_experience
I’ve tried surfing in Arugam Bay,share_experience
We went whale watching in Mirissa,share_experience
Polonnaruwa had amazing ruins to explore,share_experience
Camping in Knuckles was a great experience,share_experience
"Horton Plains is chilly in the morning, but worth it",share_experience
Weligama had some amazing seafood spots,share_experience
Can someone help me find a good place to stay?,ask_help
What’s the cheapest way to travel to Galle?,ask_help
Should we book our tickets in advance?,ask_help
What’s the weather like in Nuwara Eliya in August?,ask_help
Do we need a permit to hike in Knuckles?,ask_help
Any good guides for Anuradhapura?,ask_help
Where can we rent bikes in Polonnaruwa?,ask_help
Which area in Ella is best to stay?,ask_help
Is public transport available to Meemure?,ask_help
Any advice for solo travel in Sri Lanka?,ask_help
Hey everyone! Glad to be here.,greet
"Hi all, looking forward to planning with you!",greet
"Hello everyone, happy to join!",greet
"Good morning, team!",greet
"Hi folks, excited for our trip discussions!",greet
"Hello group, where are we headed next?",greet
"Hey guys, any plans yet?",greet
"Hi everyone, just joined!",greet
"Good evening, friends!",greet
Hello travel buddies!,greet
Sounds good to me!,general
I agree with that plan,general
"Cool, I’m in!",general
Let’s go with that!,general
Great suggestion,general
That place looks awesome,general
"Wow, love the energy here!",general
"Sure, works for me",general
Can’t wait for this!,general
Looks exciting!,general
